model,accuracy,balanced_accuracy,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,macro_precision,macro_recall,macro_f1,weighted_kappa,extreme_error_rate,roc_auc_ovr_macro,average_precision_macro
Random Forest,0.828125,0.8268398268398268,0.6956163281163281,0.9486479207067443,0.8287878787878787,0.8268398268398268,0.8275150827618213,0.8704930095658572,0.0,0.8791066814322628,0.7317825610825551
Gradient Boosting,0.828125,0.8268398268398268,0.6878787878787879,0.9458874458874459,0.8287878787878787,0.8268398268398268,0.8275150827618213,0.8704930095658572,0.0,0.8594332024564583,0.7620751401844771
Multinomial Logistic,0.75,0.7481962481962482,0.5891540404040404,0.8809640522875817,0.7482247284878865,0.7481962481962482,0.7464254952627045,0.8183753103937567,0.0,0.8831839994630691,0.7600765583908923
k-Nearest Neighbours,0.6875,0.6847041847041847,0.5454335016835017,0.8241774532393603,0.6847041847041847,0.6847041847041847,0.6847041847041847,0.767357324609233,0.0,0.8126237457632808,0.653334211168414
Support Vector Machine,0.671875,0.6695526695526697,0.5257891604010025,0.8009275446775447,0.6715927750410509,0.6695526695526697,0.6581173864894795,0.710455764075067,0.03125,0.8477885163931674,0.7247860172166591
Dummy most frequent,0.25,0.24675324675324672,0.10681438127090301,0.38888888888888884,0.16666666666666666,0.24675324675324672,0.196415770609319,-0.13761467889908263,0.234375,0.4345615624685391,0.3116883116883117
