model,row_index,council_area_code,council_area,sex,observed_class_code,observed_category,predicted_class_code,predicted_category,probability_low_hle,probability_middle_hle,probability_high_hle,fold,healthy_life_expectancy_years,predicted_hle,regression_category
Random Forest,31,S12000017,Highland,Male,1,Middle HLE,1,Middle HLE,0.04654873855679952,0.67688982020132,0.27656144124188003,3,61.0,60.01049999999992,Middle HLE
Random Forest,32,S12000018,Inverclyde,Female,0,Low HLE,0,Low HLE,0.9719820210692973,0.028017978930702722,0.0,7,53.6,53.53100000000001,Low HLE
Random Forest,33,S12000018,Inverclyde,Male,0,Low HLE,0,Low HLE,0.9800974160909424,0.019039488670962456,0.0008630952380952381,7,54.1,53.5555,Low HLE
Random Forest,34,S12000019,Midlothian,Female,1,Middle HLE,1,Middle HLE,0.04150911843537577,0.7935392150939787,0.16495166647064466,1,60.9,60.021580645743185,Middle HLE
Random Forest,35,S12000019,Midlothian,Male,1,Middle HLE,1,Middle HLE,0.028607575445016985,0.7506211299734286,0.22077129458155376,1,60.3,60.660613894438946,Middle HLE
Random Forest,36,S12000020,Moray,Female,2,High HLE,2,High HLE,0.018766409995916177,0.317974731839072,0.6632588581650117,8,62.5,64.09016476995228,High HLE
Random Forest,37,S12000020,Moray,Male,1,Middle HLE,2,High HLE,0.009574201802043922,0.13341876906158687,0.8570070291363691,8,61.3,65.28517045177041,High HLE
Random Forest,38,S12000013,Na h-Eileanan Siar,Female,2,High HLE,2,High HLE,0.009218966018325137,0.2952850951737127,0.6954959388079621,8,64.5,66.21790207431454,High HLE
Random Forest,39,S12000013,Na h-Eileanan Siar,Male,2,High HLE,2,High HLE,0.008618607595386069,0.27477207966245915,0.7166093127421547,8,63.4,66.07393560606062,High HLE
Random Forest,40,S12000021,North Ayrshire,Female,0,Low HLE,0,Low HLE,0.996301610527154,0.0036983894728459944,0.0,2,53.5,53.78831968864469,Low HLE
Random Forest,41,S12000021,North Ayrshire,Male,0,Low HLE,0,Low HLE,0.9850324092982754,0.01464501005656335,0.0003225806451612903,2,53.3,53.82227980769228,Low HLE
Random Forest,42,S12000050,North Lanarkshire,Female,0,Low HLE,0,Low HLE,0.9644090756223579,0.03321526300198059,0.002375661375661376,5,52.3,54.38050000000004,Low HLE
Random Forest,43,S12000050,North Lanarkshire,Male,0,Low HLE,0,Low HLE,0.9185412074224463,0.07731156994581073,0.004147222631742755,5,52.9,54.800500000000014,Low HLE
Random Forest,44,S12000023,Orkney Islands,Female,2,High HLE,2,High HLE,0.01070925264212783,0.2744033405118225,0.7148874068460497,5,74.1,63.9325639055389,High HLE
Random Forest,45,S12000023,Orkney Islands,Male,2,High HLE,2,High HLE,0.007031314525410907,0.2270054242805233,0.7659632611940657,5,72.9,64.14892204045954,High HLE
Random Forest,46,S12000048,Perth and Kinross,Female,2,High HLE,2,High HLE,0.0063107282498079875,0.3029515723022561,0.6907376994479353,4,66.4,63.743252518315,High HLE
Random Forest,47,S12000048,Perth and Kinross,Male,2,High HLE,2,High HLE,0.0037604123859145376,0.20878283894056765,0.7874567486735176,4,65.3,65.72424682539685,High HLE
Random Forest,48,S12000038,Renfrewshire,Female,0,Low HLE,0,Low HLE,0.7187409986674854,0.23534227434384536,0.04591672698866929,3,56.5,57.13333217486821,Low HLE
Random Forest,49,S12000038,Renfrewshire,Male,0,Low HLE,0,Low HLE,0.6049039916238572,0.33421804134921673,0.060877967026925904,3,56.5,57.35356414093877,Low HLE
Random Forest,50,S12000026,Scottish Borders,Female,2,High HLE,2,High HLE,0.015000922938324309,0.34693082366489747,0.6380682533967781,5,63.0,64.4082862484737,High HLE
Random Forest,51,S12000026,Scottish Borders,Male,2,High HLE,2,High HLE,0.010881213365063067,0.28350556347553013,0.7056132231594067,5,62.3,63.9211410103785,High HLE
Random Forest,52,S12000027,Shetland Islands,Female,2,High HLE,2,High HLE,0.0036072024614107407,0.21570601629802544,0.7806867812405638,7,70.8,65.5062559048707,High HLE
Random Forest,53,S12000027,Shetland Islands,Male,2,High HLE,2,High HLE,0.0036072024614107407,0.24597534719278538,0.7504174503458038,7,68.3,65.31997179555765,High HLE
Random Forest,54,S12000028,South Ayrshire,Female,0,Low HLE,1,Middle HLE,0.1714265365266732,0.6976004872242464,0.13097297624908008,1,58.0,58.817500000000024,Middle HLE
Random Forest,55,S12000028,South Ayrshire,Male,0,Low HLE,1,Middle HLE,0.04443888614068527,0.7842298583775016,0.1713312554818126,1,57.5,58.87149999999991,Middle HLE
Random Forest,56,S12000029,South Lanarkshire,Female,0,Low HLE,0,Low HLE,0.912918888981389,0.07708362501025542,0.009997486008355573,2,57.8,58.4805,Middle HLE
Random Forest,57,S12000029,South Lanarkshire,Male,0,Low HLE,0,Low HLE,0.8003152286956038,0.1698610053458537,0.02982376595854257,2,58.1,58.65449999999985,Middle HLE
Random Forest,58,S12000030,Stirling,Female,1,Middle HLE,1,Middle HLE,0.040670774940180954,0.6123141350430894,0.34701509001672937,5,60.3,61.14466908369412,Middle HLE
Random Forest,59,S12000030,Stirling,Male,1,Middle HLE,1,Middle HLE,0.03431048214092459,0.6180891546239808,0.3476003632350944,5,60.2,60.89043247308248,Middle HLE
Random Forest,60,S12000039,West Dunbartonshire,Female,0,Low HLE,0,Low HLE,0.9814110979833569,0.018218531646272594,0.00037037037037037035,4,53.0,54.115000000000016,Low HLE
Random Forest,61,S12000039,West Dunbartonshire,Male,0,Low HLE,0,Low HLE,0.9580526093705205,0.040242237650413376,0.0017051529790660228,4,53.2,54.422999999999995,Low HLE
Random Forest,62,S12000040,West Lothian,Female,1,Middle HLE,1,Middle HLE,0.4244765276207406,0.4695457183528272,0.10597775402643245,3,60.3,58.46599999999998,Middle HLE
Random Forest,63,S12000040,West Lothian,Male,1,Middle HLE,1,Middle HLE,0.12264200325731574,0.7074165966331906,0.1699414001094931,3,60.0,58.788499999999885,Middle HLE
