sex,deprivation_quartile,n,mae_years,mean_error_years,rmse_years
Female,Q1: least exposed,8,3.334407688707385,1.195074229111464,4.394308293238086
Female,Q2,8,2.4395091904623163,-0.10079964410589692,2.6810481467750957
Female,Q3,8,1.148840932850523,0.404840618209934,1.244870895098986
Female,Q4: most exposed,8,0.6090809765958145,-0.2982489455653763,0.9148691636474824
Male,Q1: least exposed,8,3.322783885126264,-0.39000734413056026,4.03411145621633
Male,Q2,8,2.1617148492132943,-0.8126534238331073,2.7006288293685845
Male,Q3,8,1.040114483311605,0.1726153298063533,1.260439274127245
Male,Q4: most exposed,8,0.7799627328603673,-0.34765155181327856,0.920925622605449
