council_area,sex,observed_hle,model_prediction,SHAP: Female sex,SHAP: Most deprived data zones (%),SHAP: Employment rate (%),SHAP: Inactive due to long-term sickness (%),SHAP: Degree-level qualification or above (%),SHAP: Ethnic diversity index,SHAP: Part-time among employed (%),SHAP: Self-employed among employed (%)
Orkney Islands,Male,72.9,70.82106387844209,0.0,4.86003789738905,0.0,2.620447686285022,0.0,4.415073011252508,0.0,0.0
Perth and Kinross,Female,66.4,63.06908241862306,0.0,3.5082806380464775,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
Perth and Kinross,Male,65.3,65.05423360784702,0.0,3.508280638046491,0.0,2.6204476862850195,0.0,0.0,0.0,0.0
Renfrewshire,Female,56.5,56.9180182462737,0.0,-2.0074870372418205,0.0,0.0,0.0,0.0,0.0,0.0
Renfrewshire,Male,56.5,56.9180182462737,0.0,-2.0074870372418205,0.0,0.0,0.0,0.0,0.0,0.0
Scottish Borders,Female,63.0,63.06908241862306,0.0,3.5082806380464775,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
Scottish Borders,Male,62.3,63.06908241862306,0.0,3.5082806380464775,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
Shetland Islands,Female,70.8,68.58079141161623,0.0,4.860037897389052,0.0,2.6204476862850146,0.0,0.0,2.174800544426649,0.0
Shetland Islands,Male,68.3,66.40599086718959,0.0,4.860037897389048,0.0,2.620447686285024,0.0,0.0,0.0,0.0
South Ayrshire,Female,58.0,58.303490872057424,0.0,-0.3878266293292681,0.0,-0.2341877821288276,0.0,0.0,0.0,0.0
South Ayrshire,Male,57.5,58.53767865418625,0.0,-0.3878266293292681,0.0,0.0,0.0,0.0,0.0,0.0
South Lanarkshire,Female,57.8,58.08588042924163,0.0,-0.8396248542738918,0.0,0.0,0.0,0.0,0.0,0.0
South Lanarkshire,Male,58.1,58.08588042924163,0.0,-0.8396248542738918,0.0,0.0,0.0,0.0,0.0,0.0
Stirling,Female,60.3,60.27185538029494,0.0,0.7110535997183556,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
Stirling,Male,60.2,60.27185538029494,0.0,0.7110535997183556,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
West Dunbartonshire,Female,53.0,54.277312695867195,0.0,-2.779779342114492,0.0,-0.2341877821288276,-1.6342254634050128,0.0,0.0,0.0
West Dunbartonshire,Male,53.2,54.277312695867195,0.0,-2.779779342114492,0.0,-0.2341877821288276,-1.6342254634050128,0.0,0.0,0.0
West Lothian,Female,60.3,59.636558883233874,0.0,0.7110535997183556,0.0,0.0,0.0,0.0,0.0,0.0
West Lothian,Male,60.0,59.636558883233874,0.0,0.7110535997183556,0.0,0.0,0.0,0.0,0.0,0.0
