healthy_life_expectancy_period,council_area_code,council_area,sex,age_group,healthy_life_expectancy_years,healthy_life_expectancy_lower_95_ci,healthy_life_expectancy_upper_95_ci,simd_datazone_count,simd_rank_median,simd_most_deprived_15pct_datazones_share_pct,simd_least_deprived_15pct_datazones_share_pct,simd_most_deprived_quintile_datazones_share_pct,simd_least_deprived_quintile_datazones_share_pct,economic_population_aged_16plus_count,economic_employment_rate_pct,economic_unemployment_rate_pct,economic_inactivity_rate_pct,economic_inactive_long_term_sick_disabled_rate_pct,economic_inactive_retired_rate_pct,economic_inactive_looking_after_home_family_rate_pct,economic_active_full_time_student_rate_pct,economic_part_time_among_employed_pct,economic_self_employed_among_employed_pct,census_total_population_count,census_ethnic_minority_excluding_white_population_pct,census_ethnic_mixed_or_multiple_population_pct,census_ethnic_asian_population_pct,census_ethnic_african_population_pct,census_ethnic_caribbean_or_black_population_pct,census_ethnic_other_ethnic_group_population_pct,census_ethnic_diversity_simpson_index_broad_groups,census_degree_level_qualification_or_above_population_aged_16plus_pct,census_bad_or_very_bad_general_health_age_standardised_pct,census_day_to_day_activities_limited_any_pct,census_day_to_day_activities_limited_a_lot_pct,census_long_term_illness_disease_or_condition_pct,census_mental_health_condition_pct,census_physical_disability_pct,census_learning_disability_difficulty_or_developmental_disorder_pct,census_deaf_or_hearing_impaired_pct,census_blind_or_vision_impaired_pct,hospital_alcohol_related_patients_easr_per_100000_2023_24,sex_female,hle_ci_width_years,hle_category,hle_category_code,deprivation_quartile
2022 to 2024,S12000027,Shetland Islands,Male,<1,68.3,58.0,78.7,30,4446.0,0.0,0.0,0.0,0.0,9361,68.454225,1.367375,30.199765,3.001816,21.845957,0.89734,1.645123,12.890137,18.086767,22986,2.440616,0.852693,1.10067,0.18707,0.026103,0.282781,0.048011,29.6,4.8,21.987297,8.566084,21.987297,9.35352,8.191943,5.498999,7.626381,2.988776,257.3,0,20.700000000000003,High HLE,2,Q1: least exposed
2022 to 2024,S12000028,South Ayrshire,Female,<1,58.0,53.0,63.1,153,3048.0,13.071895,16.339869,18.300654,20.261438,49788,49.021853,2.006508,48.975657,5.764441,33.182695,5.125733,3.050936,44.38071,9.993035,111519,2.247151,0.565823,1.143303,0.121952,0.063666,0.352406,0.044261,30.5,6.6,26.511177,12.148602,24.154628,10.813404,10.938046,4.587559,8.20757,2.905335,361.4,1,10.100000000000001,Low HLE,0,Q3
2022 to 2024,S12000028,South Ayrshire,Male,<1,57.5,52.6,62.5,153,3048.0,13.071895,16.339869,18.300654,20.261438,44746,55.388191,2.949984,41.661825,5.086488,29.607116,1.564386,2.362222,16.325048,18.443351,111519,2.247151,0.565823,1.143303,0.121952,0.063666,0.352406,0.044261,30.5,6.6,26.511177,12.148602,24.154628,10.813404,10.938046,4.587559,8.20757,2.905335,361.4,0,9.899999999999999,Low HLE,0,Q3
2022 to 2024,S12000029,South Lanarkshire,Female,<1,57.8,53.8,61.8,431,3038.0,14.153132,10.904872,21.345708,16.009281,141855,56.339925,1.784216,41.873744,5.731909,25.615593,5.098164,3.674879,38.713229,7.371029,327056,4.252483,0.745744,2.482449,0.551893,0.06849,0.403906,0.082522,28.3,7.5,25.130253,11.866469,22.052493,11.075779,10.504929,4.619698,7.140673,2.522504,402.0,1,8.0,Low HLE,0,Q3
2022 to 2024,S12000029,South Lanarkshire,Male,<1,58.1,54.6,61.5,431,3038.0,14.153132,10.904872,21.345708,16.009281,129919,63.016187,2.787891,34.193613,5.177072,21.799737,1.504784,2.650113,13.4738,16.299011,327056,4.252483,0.745744,2.482449,0.551893,0.06849,0.403906,0.082522,28.3,7.5,25.130253,11.866469,22.052493,11.075779,10.504929,4.619698,7.140673,2.522504,402.0,0,6.899999999999999,Low HLE,0,Q3
2022 to 2024,S12000030,Stirling,Female,<1,60.3,56.4,64.3,121,4662.0,7.438017,21.487603,12.396694,26.446281,40938,54.455518,2.68699,42.859935,4.150178,25.260149,4.687576,6.780986,44.803301,11.626968,92604,4.797849,1.044231,2.565764,0.494579,0.131744,0.561531,0.09283,39.6,5.4,22.066001,9.231783,20.180554,10.661526,8.344132,5.488964,7.215671,2.314155,318.2,1,7.899999999999999,Middle HLE,1,Q3
2022 to 2024,S12000030,Stirling,Male,<1,60.2,56.9,63.6,121,4662.0,7.438017,21.487603,12.396694,26.446281,36958,60.844743,3.222577,35.921857,4.064073,21.803128,1.371827,5.34661,17.650198,18.890915,92604,4.797849,1.044231,2.565764,0.494579,0.131744,0.561531,0.09283,39.6,5.4,22.066001,9.231783,20.180554,10.661526,8.344132,5.488964,7.215671,2.314155,318.2,0,6.700000000000003,Middle HLE,1,Q3
2022 to 2024,S12000039,West Dunbartonshire,Female,<1,53.0,48.6,57.3,121,2001.0,31.404959,4.132231,39.669421,5.785124,38588,55.514668,2.132787,42.360319,7.486783,24.686431,4.897896,3.882036,40.761834,5.125572,88399,3.178769,0.731909,1.325807,0.583717,0.070137,0.466069,0.062279,21.7,8.7,27.65529,13.733187,23.034197,12.658514,11.838369,5.170873,7.28515,2.57469,554.1,1,8.699999999999996,Low HLE,0,Q4: most exposed
2022 to 2024,S12000039,West Dunbartonshire,Male,<1,53.2,49.5,56.9,121,2001.0,31.404959,4.132231,39.669421,5.785124,34788,60.009199,3.552949,36.432103,7.080028,21.553409,1.80522,2.564103,14.65798,13.37421,88399,3.178769,0.731909,1.325807,0.583717,0.070137,0.466069,0.062279,21.7,8.7,27.65529,13.733187,23.034197,12.658514,11.838369,5.170873,7.28515,2.57469,554.1,0,7.399999999999999,Low HLE,0,Q4: most exposed
2022 to 2024,S12000040,West Lothian,Female,<1,60.3,56.3,64.3,239,3378.0,8.786611,14.644351,15.481172,19.246862,76248,59.553037,1.811195,38.635767,5.733921,22.947487,4.948327,3.631571,38.202519,7.476656,181278,5.219607,1.054734,2.789086,0.793808,0.089917,0.489855,0.100691,27.8,7.2,24.170611,10.808813,21.448273,11.801211,9.574245,5.666435,6.750405,2.320745,337.0,1,8.0,Middle HLE,1,Q3
2022 to 2024,S12000040,West Lothian,Male,<1,60.0,56.6,63.5,239,3378.0,8.786611,14.644351,15.481172,19.246862,71343,65.438796,2.670199,31.891005,5.053054,19.480538,1.450738,2.500596,12.569079,13.417299,181278,5.219607,1.054734,2.789086,0.793808,0.089917,0.489855,0.100691,27.8,7.2,24.170611,10.808813,21.448273,11.801211,9.574245,5.666435,6.750405,2.320745,337.0,0,6.899999999999999,Middle HLE,1,Q3
