,PC1,PC2
Most deprived %,0.4106631531252017,0.40790955571508053
Employment %,-0.3010945741668577,-0.08279033945509284
Inactive sick %,0.4816576276188588,0.2252003486542505
Degree+ %,-0.41897819138339787,0.29624879330561305
Ethnic diversity,-0.18393992309031879,0.6730384384811408
Long-term condition %,0.4179951258384173,-0.3806682009707661
Alcohol-related patient rate,0.352997473706354,0.30064595553034984
