model,n_rows,n_councils,parameters,r_squared,adjusted_r_squared,rmse_years,aic,bic
Model 1: sex + deprivation,64,32,3,0.7067708095059686,0.6971567376864922,2.6667009505870665,131.54779000310177,138.0244392531808
Model 2: + socioeconomic context,64,32,6,0.7492503959243466,0.727634050745411,2.4659873418522116,127.53181077249621,140.48510927265426
Model 3: + demographic context,64,32,7,0.7492633180790804,0.7228699831400363,2.465923799816571,129.52851250522053,144.64069408873826
Sensitivity: + health context,64,32,9,0.7759175709911021,0.7433237631352625,2.3311736031953014,126.33559464008859,145.76554239032563
