model,mae_years,mae_ci_lower,mae_ci_upper,rmse_years,rmse_ci_lower,rmse_ci_upper,oof_r_squared
Random Forest,1.8545518423909462,1.3212005797577129,2.4870157367688024,2.6193729248317004,1.6904822420239525,3.5631246176945943,0.7170867822721296
Ridge,1.8948959690674354,1.334857827962054,2.588168688251757,2.677017575808664,1.762578757282746,3.624099268565073,0.704497598248629
Gradient Boosting,1.9187432026778883,1.2857459705148138,2.6866729468464654,2.8573075094471583,1.7352351575810672,3.851328508425837,0.6633547158078994
k-Nearest Neighbours,1.993007281155983,1.315739572562407,2.8319228244902197,2.986356284838028,1.8678937617653824,4.108047080744115,0.6322592061600417
Elastic Net,2.015179646904183,1.4679309634436148,2.69652864003776,2.69143297750988,1.8294337135672556,3.610608927043272,0.7013065433463558
Linear regression,2.1613137353757255,1.6447566617805016,2.7567385512060745,2.778856226128224,2.075834290786117,3.478182760420457,0.6815870479334222
Support Vector Regression,2.2686082774326106,1.5502994718352523,3.101075359682885,3.2006044552227064,2.143873666842594,4.214885878752361,0.5776012922810857
Dummy mean,4.037276785714286,2.9463909040178575,5.168353794642857,5.194631308917576,3.8233141873606136,6.435762848953263,-0.11267422428902552
