sex,n,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_kappa,extreme_error_rate,roc_auc_ovr_macro
Female,32,0.84375,0.8424242424242424,0.8454545454545453,0.8424242424242424,0.8427128427128427,0.8837209302325582,0.0,0.8941558441558443
Male,32,0.8125,0.8121212121212121,0.8121212121212121,0.8121212121212121,0.8121212121212121,0.856929955290611,0.0,0.8604617604617605
